split,clips,hours,parakeet_wer,parakeet_cer,parakeet_errors,parakeet_words,orukeet_wer,orukeet_cer,orukeet_errors,orukeet_words
eurospeech_bg,256,1.072353802083333,14.21858216970999,7.198539675722109,1059,7448,13.03705692803437,6.717491678299152,971,7448
eurospeech_de,256,1.0912282638888895,13.40047393364929,8.533264834318008,1131,8440,11.142687981053879,7.147872249336416,941,8445
eurospeech_el,256,1.0396271527777776,25.828065739570164,8.472534849741342,2043,7910,26.35306019221042,9.009596019428978,2084,7908
eurospeech_en,256,1.0540027430555547,24.398090493980906,17.845920468089716,2351,9636,23.765047737650477,17.493769639180844,2290,9636
eurospeech_et,256,1.0695780555555554,34.668040630060354,14.607826671145448,2355,6793,25.325251330573625,11.943651326839099,1713,6764
eurospeech_fi,256,1.0576934722222222,16.61372299872935,7.178711940616703,1046,6296,15.20356234096692,6.771711533616296,956,6288
eurospeech_fr,256,1.0628877083333337,19.423112942498594,11.372351794807317,2074,10678,14.283038306640442,8.805871628842647,1525,10677
eurospeech_hr,256,1.0454521527777771,12.92816206850593,8.677776319818047,970,7503,12.556651559584111,8.461269299741941,942,7502
eurospeech_it,256,1.0571320486111113,10.951906304510342,6.810519217801753,879,8026,12.32398753894081,8.337630399428821,989,8025
eurospeech_lt,256,1.0921616319444443,38.43658272825583,16.15373194476849,2488,6473,33.10142238713667,14.340254947292511,2141,6468
eurospeech_lv,256,1.0540805208333333,57.17844908128309,26.650800422101977,3672,6422,42.13973799126637,17.20963649834976,2702,6412
eurospeech_mt,256,1.0746674826388882,36.83468000513018,19.343275939320232,2872,7797,36.14674191893278,18.88881776867439,2818,7796
eurospeech_pt,256,1.0251623090277782,23.078793774319067,17.669622602598473,1898,8224,23.805471124620063,18.42029284388534,1958,8225
eurospeech_sk,256,1.0663451041666665,17.292612463887743,7.757985524205782,1257,7269,14.907088781830694,6.928011095219521,1083,7265
eurospeech_sl,256,1.042155416666667,48.42661851947382,15.927240461401952,3755,7754,50.23231801755292,16.52089407191448,3892,7748
eurospeech_uk,256,1.0933650694444448,13.651692971806286,7.586263153601435,1012,7413,14.249089191742005,7.586263153601435,1056,7411
gigaspeechbench_ait_en,256,0.5016255555555552,8.712793219002563,4.862149622301469,442,5073,7.983441750443524,4.402009279496913,405,5073
gigaspeechbench_chn_en,256,0.3659214236111112,14.490161001788909,8.99429386590585,405,2795,13.559928443649374,8.41654778887304,379,2795
gigaspeechbench_phl_en,256,0.3380872395833332,13.30105383081743,8.279526884178047,467,3511,12.788379379094275,7.622421575909948,449,3511
gigaspeechbench_ind_en,256,0.5177380729166666,6.5031374786081,3.202919807620152,342,5259,5.590416428978894,2.520721765528533,294,5259
gigaspeechbench_jpn_en,256,0.312707482638889,19.14643696162882,11.885179809708111,489,2554,17.776037588097104,10.861151427189164,454,2554
gigaspeechbench_sct_en,256,0.23421114583333333,22.077464788732396,14.595704127263398,627,2840,20.35211267605634,13.122205116926912,578,2840
gigaspeechbench_sgp_en,256,0.2844177951388889,13.892251815980629,9.249230769230769,459,3304,12.86319612590799,8.20923076923077,425,3304
gigaspeechbench_agr_en,256,0.4082733159722223,6.201716738197425,3.9577156117055563,289,4660,5.836909871244635,3.407674788363199,272,4660
gigaspeechbench_art_en,256,0.4463050000000003,5.474367896079796,2.8596452813663236,236,4311,4.8712595685455815,2.4655134661703526,210,4311
gigaspeechbench_bio_en,256,0.5044194444444443,3.6748101005953604,1.6162557339449541,179,4871,3.305276123999179,1.365395642201835,161,4871
gigaspeechbench_ecm_en,256,0.47235996527777796,7.051724137931035,4.29613617941097,409,5800,6.568965517241379,3.9651445555255336,381,5800
gigaspeechbench_eng_en,256,0.46552720486111093,4.057971014492754,2.1933532054989544,182,4485,3.500557413600892,1.846331805845976,157,4485
gigaspeechbench_ent_en,256,0.2886933854166668,10.403225806451612,6.795450648682631,387,3720,8.870967741935484,5.640967022918215,330,3720
gigaspeechbench_fin_en,256,0.4903747569444444,5.814553586788233,3.4145192760546323,338,5813,5.109237915018063,3.0041041512480655,297,5813
gigaspeechbench_hum_en,256,0.5111050347222221,7.981035163966811,4.69179211075706,404,5062,7.467404188067957,4.193678350364428,378,5062
gigaspeechbench_law_en,256,0.39185109375,9.752400202122285,5.368061239227769,386,3958,9.044972208185953,5.031052910307641,358,3958
