split,clips,hours,parakeet_wer,parakeet_cer,parakeet_errors,parakeet_words,orukeet_wer,orukeet_cer,orukeet_errors,orukeet_words
librispeech_test_clean,2620,5.403466840277785,1.5320754716981133,0.5904816918584127,812,53000,1.460377358490566,0.5615994351914252,774,53000
librispeech_test_other,2939,5.341547256944446,3.141499971612952,1.3247082400094305,1660,52841,2.8557370223879186,1.1931952139573265,1509,52841
fleurs_bg,658,1.8574666666666677,11.91790516631281,3.8379239699521968,1684,14130,10.369479048697622,3.3416799453676305,1465,14128
fleurs_hr,914,2.565966666666669,11.293332579313464,3.5261255049634483,1997,17683,10.196810315575162,3.673747204469313,1803,17682
fleurs_cs,723,2.4499500000000016,11.124773960216999,3.211019381828701,1538,13825,8.970556319178181,2.666948530229867,1240,13823
fleurs_da,930,2.93865,17.18872741555381,6.313899197892972,3501,20368,14.875423853752027,5.313859292070713,3027,20349
fleurs_nl,364,0.9687166666666657,6.401528723277201,2.281838959871108,536,8373,5.604014816585016,1.9296339315823,469,8369
fleurs_en,647,1.7744166666666674,4.283553355335534,2.0037127971734834,623,14544,3.822882288228823,1.7665728486735732,556,14544
fleurs_et,893,3.0070666666666614,13.317519484920366,3.8595921020557404,1965,14755,10.440456769983687,3.3892184213139767,1536,14712
fleurs_fi,918,3.3040002777777766,11.138178373257546,2.593556632740535,1646,14778,9.350860550210056,2.1579201670848986,1380,14758
fleurs_fr,676,1.951133333333332,4.687844694462828,1.6803752424077418,850,18132,5.007168854086247,1.6985259698697923,908,18134
fleurs_de,862,3.152583333333336,4.214251246581953,1.4119378502058118,786,18651,3.91999141999142,1.5200177833648887,731,18648
fleurs_el,650,1.9061000000000012,21.07347989700931,9.007420856512514,3192,15147,30.80884780455596,9.179483390159712,4666,15145
fleurs_hu,905,3.0696833333333298,13.602400423604166,4.196966719077568,2312,16997,10.683156654888103,2.971861897274633,1814,16980
fleurs_it,865,3.5211833333333318,2.431782836137424,0.792283844299001,516,21219,2.092168504382245,0.7608986871818425,444,21222
fleurs_lv,851,2.8385,21.780278808031717,5.431488563388412,3406,15638,17.4093994109361,4.214770185439065,2719,15618
fleurs_lt,986,2.968483333333328,20.950744558991982,5.564649381534043,3658,17460,16.554963624906915,4.272897138533286,2890,17457
fleurs_mt,926,3.547383333333337,19.222081676906395,6.190607354358904,4255,22136,15.600849640710445,5.084240003672589,3452,22127
fleurs_pl,758,2.0506833333333336,6.813337916809901,2.088235006980309,991,14545,6.114167812929849,1.950581366968984,889,14540
fleurs_pt,919,3.238916666666665,4.48609265453879,1.9831298660130972,979,21823,3.725085910652921,1.6328928955242343,813,21825
fleurs_ro,883,2.5275999999999996,11.443819959382232,3.8626442763270314,2423,21173,9.344293272864702,3.0657263138272257,1978,21168
fleurs_ru,775,2.498283333333333,4.8874640146558495,1.4923721153314025,747,15284,4.722040549378679,1.4813038425353724,722,15290
fleurs_sk,792,2.613533333333332,9.209314563873175,2.9082906514294735,1400,15202,7.74796106287819,2.4069633182343013,1178,15204
fleurs_sl,834,2.270316666666667,22.61524555589033,7.6989856098136356,3753,16595,22.1050093435409,8.284029252182119,3667,16589
fleurs_es,908,3.0905833333333335,3.222378098031714,1.28430327986869,758,23523,2.75498490710429,1.0416966625392345,648,23521
fleurs_sv,759,2.3331000000000013,13.375008139610602,4.259554544438915,2054,15357,11.360969886585842,3.4480657316094696,1743,15342
fleurs_uk,750,2.262533333333333,6.000550509221029,1.7350029475738418,872,14532,5.385144429160936,1.6038867318520929,783,14540
