language,cv_train_hours,fleurs_train_hours,additional_accent_hours,sampler_language_probability
bg,7.14356,8.89125,0,0.018619926262180155
cs,27.887014,8.177967,0,0.02792472460920991
da,3.802,7.262383,0,0.01546712710801205
de,485.751994,8.788817,0,0.10340632785195661
el,1.807097,9.462767,0,0.015610088756680568
en,607.202426,7.137917,12.387271197916672,0.19525255592620477
es,346.121025,8.549983,0,0.08757071432254299
et,6.214295,7.0169,0,0.016913971218711972
fi,1.38378,8.231556,0,0.014418771852581296
fr,438.297624,9.960417,0,0.09844872405781697
hr,0,10.865267,0,0.015327320632095336
hu,52.55211,8.948961,0,0.03646593793109577
it,246.516182,8.7981,0,0.07429910842216678
lt,11.745043,8.898217,0,0.02112687140718183
lv,22.3742,6.190317,0,0.024851893715213996
mt,2.375107,9.132133,0,0.01577362940958667
nl,53.445937,7.565767,0,0.036320567243547125
pl,30.512572,8.79495,0,0.02915304214270935
pt,24.13043,8.89815,0,0.026723356100165
ro,5.701107,9.557933,0,0.01816392305059745
ru,35.402408,7.562767,0,0.030479254197253433
sk,8.92525,5.690133,0,0.01777670039345124
sl,1.426753,7.3169,0,0.013749677532150497
sv,8.242697,7.241683,0,0.018297550650257347
uk,27.438809,8.454633,0,0.02785823520663118
