phase,dimension,group,rows,hours,groups,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
primary,lang,bg,6892,28.765707065972222,5,204667,30931,18826,4589,7516,1261290,91487,6365,15.112841835762483,7.253446867889225,92.35345327916424,204667,30206,18571,4382,7253,1261290,94372,6281,14.758607885003444,7.482180941734256,91.13464886825305
primary,lang,de,4872,20.322958663194445,2,154409,24327,10708,4836,8783,1043970,109633,4251,15.754910659352758,10.501546979319329,87.25369458128078,154409,21318,8599,4146,8573,1043970,99220,4222,13.80619005368858,9.504104524076363,86.6584564860427
primary,lang,el,6730,28.011912690972224,2,209225,212259,165379,25388,21492,1367876,1068964,6730,101.4501135141594,78.14772684073702,100.0,209225,210709,160713,26857,23139,1367876,1083220,6730,100.70928426335286,79.18992657229164,100.0
primary,lang,en,136142,234.31730145833333,2377,2469429,352135,172594,76802,102739,12825547,1108321,89004,14.259774223109877,8.641510572609496,65.37585756048831,2469429,352200,172217,91884,88099,12825547,1117948,89880,14.26240641055078,8.716571698657376,66.01930337441789
primary,lang,et,3554,14.842340243055554,2,92711,35861,23536,4976,7349,649741,97689,3536,38.68041548467819,15.035067819331088,99.49352841868317,92711,27974,16913,3746,7315,649741,75450,3509,30.173334340045947,11.612319370333717,98.73382104670793
primary,lang,fi,5422,22.550108038194445,6,133511,23491,13377,4369,5745,1088356,78459,4862,17.594804922440847,7.208946337411656,89.67170785687938,133511,21566,11839,4258,5469,1088356,73692,4743,16.152976159267777,6.770946271256832,87.47694577646625
primary,lang,fr,744,3.051858246527778,1,29703,5710,3341,1065,1304,176894,20318,694,19.223647443019225,11.4859746514862,93.27956989247312,29703,4378,2205,767,1406,176894,16474,688,14.73925192741474,9.312921862810496,92.47311827956989
primary,lang,hr,15638,65.29728854166666,34,481017,64584,31749,12857,19978,2915240,259252,13697,13.42655249190777,8.892989942509022,87.58792684486507,481017,62873,31292,12104,19477,2915240,252974,13535,13.070847807873735,8.677638890794583,86.55198874536386
primary,lang,it,8714,36.354228229166665,5,276339,178881,132069,24105,22707,1702763,822946,8144,64.73244818863787,48.33003770929953,93.45880192793206,276339,179168,131968,24350,22850,1702763,824674,8150,64.83630613123735,48.43151982982952,93.52765664448015
primary,lang,lt,7319,30.31062480902778,7,177203,68367,48396,8296,11675,1263067,206107,7294,38.581175262269824,16.317978381194347,99.6584232818691,177203,58219,39127,7021,12071,1263067,183436,7263,32.85440991405337,14.523061721983078,99.2348681513868
primary,lang,lv,3343,13.911269496527778,6,85002,48973,36003,9405,3565,586029,149718,3341,57.61393849556481,25.54788244267775,99.9401734968591,85002,36243,27688,3914,4641,586029,94725,3334,42.637820286581494,16.1638758491474,99.73078073586599
primary,lang,mt,3446,14.164583177083333,9,102114,40826,26310,5877,8639,611145,110129,3441,39.98080576610455,18.020109793911427,99.85490423679629,102114,39116,24966,5175,8975,611145,105812,3440,38.306206788491295,17.31373078402016,99.82588508415554
primary,lang,pt,7501,30.932942552083333,6,248257,54814,16396,15987,22431,1458853,239925,7026,22.079538542719842,16.446139535648896,93.66751099853353,248257,54742,16392,15970,22380,1458853,239762,7008,22.050536339358004,16.434966374268004,93.42754299426743
primary,lang,sk,6915,29.010273177083334,11,204904,36988,25473,6590,4925,1244685,99298,6600,18.051380158513254,7.977761441649895,95.44468546637744,204904,31437,20883,5486,5068,1244685,89878,6381,15.342306641158787,7.220943451556016,92.27765726681127
primary,lang,sl,3585,14.836868350694443,3,107920,57047,45049,6451,5547,654135,115177,3578,52.86045218680504,17.607527498146407,99.8047419804742,107920,54161,43157,5624,5380,654135,105247,3575,50.18624907338769,16.08949223019713,99.72105997210599
primary,lang,uk,3239,13.638500086805555,2,89031,13872,6557,1856,5459,586355,53401,2799,15.581089732789703,9.107281425075254,86.41556035813522,89031,13126,6183,1846,5097,586355,50600,2766,14.743179342026934,8.62958446674796,85.39672738499537
primary,source,eurospeech,97182,404.7257972569444,113,2947006,1000194,641631,148794,209769,18618543,3927341,91463,33.939326896518025,21.093707493652968,94.1151653598403,2947006,940735,597514,138205,205016,18618543,3767514,90701,31.921719874340262,20.235278345894198,93.33106953962668
primary,source,gigaspeechbench,124772,189.96863423611111,921,2068982,245824,132459,64315,49050,10566268,696445,78487,11.88139867819053,6.591210822969851,62.9043375116212,2068982,253902,133600,78854,41448,10566268,733454,79461,12.271832234403199,6.941466939888332,63.68496136953804
primary,source,monsoon,2102,5.6243333333333325,1444,49454,3048,1673,340,1035,251135,7038,1412,6.163303271727262,2.802476755529894,67.17411988582303,49454,2799,1599,471,729,251135,6516,1343,5.659805071379464,2.5946204232783163,63.89153187440533
primary,gender,F,1041,2.7806416666666665,685,24721,1406,775,152,479,124988,3229,672,5.687472189636342,2.583448011009057,64.55331412103746,24721,1269,732,191,346,124988,2908,642,5.133287488370212,2.3266233558421607,61.671469740634
primary,gender,M,1061,2.843691666666667,759,24733,1642,898,188,556,126147,3809,740,6.638903489265354,3.0194931310296718,69.74552309142318,24733,1530,867,280,383,126147,3608,701,6.186067197671128,2.8601552157403662,66.06974552309143
primary,region,Andaman and Nicobar Islands,1,0.0032666666666666664,1,35,1,1,0,0,192,4,1,2.857142857142857,2.0833333333333335,100.0,35,1,0,1,0,192,6,1,2.857142857142857,3.125,100.0
primary,region,Andhra Pradesh,248,0.6471499999999999,169,5640,393,215,40,138,29210,924,178,6.968085106382978,3.1633002396439576,71.7741935483871,5640,371,213,62,96,29210,854,166,6.578014184397163,2.923656282095173,66.93548387096774
primary,region,Assam,27,0.06655,19,593,34,18,4,12,3013,77,18,5.733558178752108,2.555592432791238,66.66666666666667,593,26,16,4,6,3013,62,14,4.3844856661045535,2.057749751078659,51.851851851851855
primary,region,Bihar,120,0.31735,82,2771,174,96,11,67,14023,411,76,6.279321544568748,2.9308992369678384,63.333333333333336,2771,162,88,24,50,14023,369,74,5.846264886322627,2.6313912857448476,61.666666666666664
primary,region,Chandigarh,5,0.010308333333333333,3,88,0,0,0,0,392,0,0,0.0,0.0,0.0,88,0,0,0,0,392,0,0,0.0,0.0,0.0
primary,region,Chhattisgarh,14,0.03646666666666667,12,312,21,10,6,5,1621,55,11,6.730769230769231,3.392967304133251,78.57142857142857,312,22,13,6,3,1621,49,10,7.051282051282051,3.0228254164096238,71.42857142857143
primary,region,Delhi,103,0.283575,74,2474,141,82,13,46,12516,307,66,5.699272433306386,2.452860338766379,64.07766990291262,2474,126,75,24,27,12516,303,62,5.092966855295069,2.4209012464046022,60.19417475728155
primary,region,Goa,4,0.006091666666666666,2,53,3,1,1,1,264,7,3,5.660377358490566,2.6515151515151514,75.0,53,3,2,0,1,264,5,3,5.660377358490566,1.893939393939394,75.0
primary,region,Gujarat,83,0.20231666666666667,57,1764,107,57,10,40,8880,236,48,6.065759637188209,2.6576576576576576,57.83132530120482,1764,98,51,19,28,8880,235,44,5.555555555555555,2.6463963963963963,53.01204819277108
primary,region,Haryana,51,0.128025,35,1129,64,36,5,23,5803,153,34,5.66873339238264,2.636567292779597,66.66666666666667,1129,59,31,10,18,5803,136,29,5.225863596102746,2.3436153713596415,56.86274509803921
