phase,split,label,scoring,rows,hours,groups,wer_delta_pp,relative_wer_reduction_pct,delta_ci_low,delta_ci_high,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
primary,eurospeech_bg,EuroSpeech · Bulgarian,legacy,6892,28.765707065972222,5,-0.3542339507590384,2.3439268048236435,-0.9574633323718018,0.1204892912959572,204667,30931,18826,4589,7516,1261290,91487,6365,15.112841835762483,7.253446867889225,92.35345327916424,204667,30206,18571,4382,7253,1261290,94372,6281,14.758607885003444,7.482180941734256,91.13464886825305
primary,eurospeech_de,EuroSpeech · German,legacy,4872,20.322958663194445,2,-1.9487206056641782,12.36897274633124,-3.9321557607386595,-1.0039296675558624,154409,24327,10708,4836,8783,1043970,109633,4251,15.754910659352758,10.501546979319329,87.25369458128078,154409,21318,8599,4146,8573,1043970,99220,4222,13.80619005368858,9.504104524076363,86.6584564860427
primary,eurospeech_el,EuroSpeech · Greek,legacy,6730,28.011912690972224,2,-0.7408292508065415,0.7302399427114923,-0.920925792473497,-0.5528639524888632,209225,212259,165379,25388,21492,1367876,1068964,6730,101.4501135141594,78.14772684073702,100.0,209225,210709,160713,26857,23139,1367876,1083220,6730,100.70928426335286,79.18992657229164,100.0
primary,eurospeech_en,EuroSpeech · English,legacy,9268,38.72433388888889,12,-2.2120099261238835,7.518665930681853,-2.4931116823228296,-1.9162024297693934,350993,103263,38462,12147,52654,2008144,404838,9105,29.420244848187856,20.15980925670669,98.24126025032369,350993,95499,37018,12559,45922,2008144,377978,9076,27.208234922063973,18.82225577448629,97.92835563228313
primary,eurospeech_et,EuroSpeech · Estonian,legacy,3554,14.842340243055554,2,-8.507081144632245,21.99325172192633,-9.052559341191667,-7.8810202237820555,92711,35861,23536,4976,7349,649741,97689,3536,38.68041548467819,15.035067819331088,99.49352841868317,92711,27974,16913,3746,7315,649741,75450,3509,30.173334340045947,11.612319370333717,98.73382104670793
primary,eurospeech_fi,EuroSpeech · Finnish,legacy,5422,22.550108038194445,6,-1.4418287631730706,8.194627729768841,-1.670691593454638,-1.1921731242710898,133511,23491,13377,4369,5745,1088356,78459,4862,17.594804922440847,7.208946337411656,89.67170785687938,133511,21566,11839,4258,5469,1088356,73692,4743,16.152976159267777,6.770946271256832,87.47694577646625
primary,eurospeech_fr,EuroSpeech · French,legacy,744,3.051858246527778,1,-4.484395515604485,23.327495621716288,,,29703,5710,3341,1065,1304,176894,20318,694,19.223647443019225,11.4859746514862,93.27956989247312,29703,4378,2205,767,1406,176894,16474,688,14.73925192741474,9.312921862810496,92.47311827956989
primary,eurospeech_hr,EuroSpeech · Croatian,legacy,15638,65.29728854166666,34,-0.3557046840340359,2.6492629753499295,-0.4270394421508826,-0.2856270136649984,481017,64584,31749,12857,19978,2915240,259252,13697,13.42655249190777,8.892989942509022,87.58792684486507,481017,62873,31292,12104,19477,2915240,252974,13535,13.070847807873735,8.677638890794583,86.55198874536386
primary,eurospeech_it,EuroSpeech · Italian,legacy,8714,36.354228229166665,5,0.10385794259947545,-0.16044185799496002,0.05566847481324899,0.1711834588546921,276339,178881,132069,24105,22707,1702763,822946,8144,64.73244818863787,48.33003770929953,93.45880192793206,276339,179168,131968,24350,22850,1702763,824674,8150,64.83630613123735,48.43151982982952,93.52765664448015
primary,eurospeech_lt,EuroSpeech · Lithuanian,legacy,7319,30.31062480902778,7,-5.726765348216453,14.843418608392941,-6.479028300091059,-5.004974166425981,177203,68367,48396,8296,11675,1263067,206107,7294,38.581175262269824,16.317978381194347,99.6584232818691,177203,58219,39127,7021,12071,1263067,183436,7263,32.85440991405337,14.523061721983078,99.2348681513868
primary,eurospeech_lv,EuroSpeech · Latvian,legacy,3343,13.911269496527778,6,-14.976118208983316,25.993915014395686,-16.120654984199938,-13.771902441672665,85002,48973,36003,9405,3565,586029,149718,3341,57.61393849556481,25.54788244267775,99.9401734968591,85002,36243,27688,3914,4641,586029,94725,3334,42.637820286581494,16.1638758491474,99.73078073586599
primary,eurospeech_mt,EuroSpeech · Maltese,legacy,3446,14.164583177083333,9,-1.6745989776132575,4.188507323764272,-1.861542904739654,-1.46541393743929,102114,40826,26310,5877,8639,611145,110129,3441,39.98080576610455,18.020109793911427,99.85490423679629,102114,39116,24966,5175,8975,611145,105812,3440,38.306206788491295,17.31373078402016,99.82588508415554
primary,eurospeech_pt,EuroSpeech · Portuguese,legacy,7501,30.932942552083333,6,-0.029002203361837786,0.13135330390045907,-0.13113053515138517,0.08364042896774748,248257,54814,16396,15987,22431,1458853,239925,7026,22.079538542719842,16.446139535648896,93.66751099853353,248257,54742,16392,15970,22380,1458853,239762,7008,22.050536339358004,16.434966374268004,93.42754299426743
primary,eurospeech_sk,EuroSpeech · Slovak,legacy,6915,29.010273177083334,11,-2.709073517354467,15.00757002271006,-3.888247008935707,-1.8818659273694134,204904,36988,25473,6590,4925,1244685,99298,6600,18.051380158513254,7.977761441649895,95.44468546637744,204904,31437,20883,5486,5068,1244685,89878,6381,15.342306641158787,7.220943451556016,92.27765726681127
primary,eurospeech_sl,EuroSpeech · Slovenian,legacy,3585,14.836868350694443,3,-2.6742031134173487,5.058986449769493,-3.142488161859667,-1.6145106637432747,107920,57047,45049,6451,5547,654135,115177,3578,52.86045218680504,17.607527498146407,99.8047419804742,107920,54161,43157,5624,5380,654135,105247,3575,50.18624907338769,16.08949223019713,99.72105997210599
primary,eurospeech_uk,EuroSpeech · Ukrainian,legacy,3239,13.638500086805555,2,-0.8379103907627687,5.3777393310265325,-0.8851961694324331,-0.791350869371378,89031,13872,6557,1856,5459,586355,53401,2799,15.581089732789703,9.107281425075254,86.41556035813522,89031,13126,6183,1846,5097,586355,50600,2766,14.743179342026934,8.62958446674796,85.39672738499537
primary,gigaspeechbench_agr_en,GigaSpeechBench · Agriculture,legacy,6665,10.318452430555554,40,0.19124521886952728,-2.3708206686929967,-0.014517765651970514,0.36447844605175544,122356,9870,4631,2677,2562,605803,29495,3706,8.066625257445487,4.8687444598326515,55.60390097524381,122356,10104,4710,3136,2258,605803,30643,3716,8.257870476315015,5.0582450070402425,55.75393848462115
primary,gigaspeechbench_ait_en,GigaSpeechBench · Artificial intelligence,legacy,5468,10.457904166666667,15,0.8868142631499989,-7.647819800623996,0.6072940702830141,1.1269698002654185,113327,13141,6230,3346,3565,563649,32150,3984,11.595647992093676,5.70390438020825,72.86027798098024,113327,14146,6252,5389,2505,563649,35885,4046,12.482462255243675,6.366550814425289,73.99414776883687
primary,gigaspeechbench_art_en,GigaSpeechBench · Art,legacy,5712,10.114382864583334,23,0.48569152759699197,-6.311537490532685,0.10816691416037456,0.8796356377574607,102946,7922,4109,1843,1970,542763,21984,3172,7.6952965632467505,4.050386632839747,55.53221288515406,102946,8422,4139,2752,1531,542763,24481,3301,8.180988090843742,4.510440100006817,57.7906162464986
primary,gigaspeechbench_bio_en,GigaSpeechBench · Biology,legacy,5297,10.504789756944446,32,0.3043052837573388,-4.057933194154492,0.16006916732952128,0.4850741354278992,102200,7664,3965,2731,968,584374,14455,2682,7.499021526418787,2.473587120576891,50.632433452897864,102200,7975,4093,3023,859,584374,15391,2702,7.8033268101761255,2.6337585176616347,51.01000566358316
primary,gigaspeechbench_chn_en,GigaSpeechBench · Chinese accent,legacy,6308,9.427544097222222,71,-0.08214114586898447,0.4496065942300465,-0.30854397312544457,0.13919758437779847,73045,13345,8831,2390,2124,370546,39096,4439,18.26955986036005,10.550916755274649,70.3709575142676,73045,13285,8628,2897,1760,370546,39416,4425,18.187418714491066,10.637275803813832,70.14901712111605
primary,gigaspeechbench_ecm_en,GigaSpeechBench · Economics,legacy,5659,10.570892968750002,27,0.36207501901808214,-3.2840177801366712,0.1961978104977231,0.5375191541700405,136712,15073,7836,3624,3613,690878,43232,3995,11.025367195271812,6.25754474740837,70.59551157448313,136712,15568,7972,4353,3243,690878,45732,4024,11.387442214289894,6.619403136299028,71.10796960593744
primary,gigaspeechbench_eng_en,GigaSpeechBench · Engineering,legacy,6648,11.598361961805555,31,1.0461948399108385,-13.925201773331816,0.6959955237970538,1.4658564452868574,117091,8797,4849,2509,1439,590763,20564,3290,7.5129600054658345,3.480922129517251,49.48856799037304,117091,10022,5363,3397,1262,590763,23925,3449,8.559154845376673,4.049847400734305,51.880264741275575
primary,gigaspeechbench_ent_en,GigaSpeechBench · Entertainment,legacy,8583,10.117495520833332,28,-0.05050544906446497,0.4550949299580414,-0.2364102668584256,0.1402589986532118,126719,14063,6497,3827,3739,595539,41761,4963,11.097783284274655,7.012303140516406,57.823604800186416,126719,13999,6288,4487,3224,595539,42057,4969,11.04727783521019,7.062006014719439,57.89351042758942
primary,gigaspeechbench_fin_en,GigaSpeechBench · Finance,legacy,6037,11.426505520833333,38,0.542834370893738,-6.348673160900234,0.3790367465983961,0.7083758596428792,139269,11908,5865,3264,2779,717147,34157,3786,8.550359376458509,4.762900772087173,62.713268179559385,139269,12664,6054,4256,2354,717147,38244,3857,9.093193747352247,5.332797878259269,63.88934901441113
primary,gigaspeechbench_hum_en,GigaSpeechBench · Humanities,legacy,4971,10.02624967013889,32,0.2720074147206386,-3.3754219277409714,0.10431384521895366,0.46156464896926286,99262,7999,4000,1508,2491,533452,23144,2950,8.058471519816244,4.338534676034582,59.34419633876484,99262,8269,4059,2087,2123,533452,24482,3016,8.330478934536883,4.5893538687642,60.67189700261517
primary,gigaspeechbench_ind_en,GigaSpeechBench · Indian accent,legacy,5503,11.078895017361111,182,0.32692141809712716,-3.3042720139494293,0.17071740399263127,0.4939354019661326,115930,11470,6521,3456,1493,647575,31287,3553,9.893901492279824,4.831409489248349,64.56478284572052,115930,11849,6527,4098,1224,647575,33559,3598,10.22082291037695,5.182256881442304,65.38251862620389
primary,gigaspeechbench_jpn_en,GigaSpeechBench · Japanese accent,legacy,9310,9.754672534722223,169,-0.2997780863516617,1.3123508692194066,-0.5789808684512965,-0.031961286393264954,77057,17602,10531,3143,3928,374789,50449,6102,22.842830631869916,13.460640520399478,65.54242749731472,77057,17371,10467,3587,3317,374789,50180,6109,22.543052545518254,13.388866802387478,65.61761546723953
